,x,y,aspect,awc,clay,Dis_habitat_suitable_1,Dis_habitat_suitable_2,Dis_habitat_suitable_3,distance_bridleway,distance_cycleway,distance_footway,distance_motorwayandlink,distance_path,distance_pedestrian,distance_primaryandlink,distance_residentil,distance_secondaryandlink,distance_steps,distance_tertiaryandlink,distance_trunkandlink,distance_unclassified,elev,fpc.corrected,group,habit0pc,habit1,habit1pc,habit2,habit2pc,habit3,habit3pc,hpop,lot_density,nitro,rain,roadk,s1_residential_dist,s1_secondry_dist,s1_unclassified_dist,s2_residential_dist,s2_secondry_dist,s2_unclassified_dist,s3_residential_dist,s3_secondry_dist,s3_unclassified_dist,sbd,temp,tpo,twi,presence_1,Presence_2,presence_0
5297,463330,6935598,166.3655646,14.25763528,14.712201,4242.640625,1000,1414.213623,29529.64612,14866.06875,7211.102551,11704.69991,15556.34919,15811.3883,11000,6708.203932,5000,7211.102551,1000,7211.102551,2236.067977,58.36853293,120.0404792,6,91,294.2077436,2,444.4698402,0,1.612977505,18,9.716084265,12,0.106459891,19,0,0,0,0,0,0,0,0,0,0,1.115959502,19,0.021439493,10.26312074,0,0,0
5199,465330,6936598,169.1312601,14.13167711,18.82342156,2236.067871,1414.213623,2236.067871,27730.84925,12806.24847,7071.067812,9486.832981,13453.62405,13601.47051,9000,5000,5000,7810.249676,0,5000,1000,38.14342355,137,4,94,483.8977931,10,1422.257963,0,1103.540545,0,2.3179997,7,0.108345814,19,6.723621307,0,0,0,1414.213562,1414.213562,1414.213562,0,0,0,1.100216183,19,0.025094033,9.577700127,0,0,1
5497,463330,6933598,88.8194007,14.23749198,22.17120184,5656.854492,2236.067871,1414.213623,31304.95168,16401.21947,8944.27191,12529.96409,17029.38637,17029.38637,11045.36102,8485.281374,6324.55532,8944.27191,3000,8485.281374,1000,60.98565352,129.8169899,13,100,294.2077436,0,444.4698402,1,1.612977505,15,6.224635286,3,0.115510451,19,0,1000,1000,1000,0,0,0,0,0,0,1.096561973,19,0.033018941,9.534059365,1,0,0
5201,467330,6936598,156.3999096,14.2466569,19.06533465,2236.067871,3162.277588,1414.213623,26925.82404,11661.90379,5830.951895,7615.773106,12206.55562,12041.59458,7000,3605.551275,4472.135955,9433.981132,0,3605.551275,1000,53.69053359,125.5086245,4,100,156.2153972,0,2670.779918,0,1044.527756,0,2.454685651,6,0.116638649,19,2.173039368,1000,1000,1000,2000,2000,2000,0,0,0,1.108532688,19,0.034053421,8.760678059,1,1,1
5403,469330,6934598,292.1877307,14.37744261,17.92221709,5000,3000,3000,28160.25568,12649.11064,7071.067812,7071.067812,13000,12206.55562,5000,5000,6000,12206.55562,2828.427125,5000,1000,33.18411184,119.7395872,3,100,1209.282074,0,1645.196146,0,1105.028126,0,4.857894233,7,0.11668495,19,2.013206329,1000,1000,1000,2000,2000,2000,1000,1000,1000,1.109435731,19,0.031387556,7.795833708,0,1,0
5197,463330,6936598,122.4180702,14.40481155,19.8650303,3605.55127,1414.213623,1000,28653.09756,14142.13562,6403.124237,11401.75425,14866.06875,15264.33752,11000,5830.951895,4472.135955,6403.124237,0,6708.203932,3000,58.69748441,119.1802098,11,100,1440.1699,1,529.3485007,0,297.102095,0,7.665629873,10,0.119577159,19,3.035035278,0,0,0,1000,1000,1000,0,0,0,1.11954662,19,0.026625044,9.985648899,0,1,1
5396,462330,6934598,256.0502767,14.47840323,18.48801451,4242.640625,1000,1414.213623,30886.89042,16278.8206,7615.773106,13000,16970.56275,17204.65053,12000,7280.109889,5000,7615.773106,2000,8602.325267,1000,61.43319025,125.8977699,13,93,294.2077436,4,293.7484415,19,1.612977505,8,9.023967169,15,0.122334366,19,0,0,0,0,0,0,0,0,0,0,1.108437639,19,0.027428827,8.412687986,0,1,1
5198,464330,6936598,139.475885,14.27351429,18.75209299,2828.427246,1000,2000,28178.00561,13453.62405,7071.067812,10440.30651,14142.13562,14422.2051,10000,5830.951895,5000,7071.067812,0,5830.951895,2000,69.7123075,113,2,100,483.8977931,1,1422.257963,0,1103.540545,0,4.968001668,7,0.12279363,19,3.035035278,0,0,0,1000,1000,1000,0,0,0,1.086458448,19,0.030307892,9.714146193,0,1,0
617,500330,6992598,140.8779354,13.59742415,13.5011601,1414.213623,0,11000,26683.32813,2000,1414.213562,2000,3605.551275,19646.8827,2236.067977,0,1000,3000,1000,17029.38637,1000,24.52225493,153.251799,1,92,19.14575132,0,97.28109854,9,6951.987048,0,339.485042,358,0.122990961,20,4.108855856,1000,1000,1000,1000,0,0,6656.854249,6656.854249,6656.854249,1.04303712,20,0.021856171,8.425528505,0,1,1
1509,442330,6979598,64.79993037,15.19635298,16.54524763,3162.277588,4123.105469,1414.213623,29068.88371,37643.06045,28017.85145,29000,33136.08305,7071.067812,7000,2828.427125,4000,41629.31659,17464.2492,47434.1649,5385.164807,190.8404948,140.07396,4,90,918.5053033,9,1806.072588,0,63.98098358,1,32.32619966,56,0.123028228,18.00226889,0,0,0,0,1000,1000,1000,0,0,0,1.049599837,18.00226889,0.032175136,7.532877595,1,0,0
