n.pc,conv,recip,beta0,beta1,alpha0,alpha1,se.beta0,se.beta1,se.alpha0,se.alpha1
50,0,0.1700727,8.898061,0.6539158,0.03965013,-1.043946,0.1133979,0.1079433,0.1720943,0.1262357
100,0,0.1266244,9.015869,0.5144166,0.06248896,-0.9920999,0.07662935,0.06770239,0.1161804,0.09259102
200,0,0.1364698,8.907611,0.5785434,-0.01781151,-1.031596,0.06086704,0.05657136,0.08986372,0.07448426
400,0,0.1488302,9.024927,0.4483577,-0.005943674,-1.001803,0.03893995,0.03585059,0.05862756,0.04453519
800,0,0.136621,9.028478,0.5026652,-0.01841737,-1.014727,0.02836428,0.02523275,0.04185875,0.032548
50,0,0.157844,8.890192,0.4179251,-0.03785789,-1.056422,0.1152929,0.1022669,0.1526706,0.1346724
100,0,0.1275793,9.071123,0.4705091,-0.01917346,-1.045152,0.07701059,0.07000574,0.1248868,0.1005858
200,0,0.1492283,8.980459,0.441061,0.008568556,-1.027978,0.05863249,0.04978273,0.0862065,0.07015425
400,0,0.1353294,9.014312,0.4467722,-0.02529822,-0.9173694,0.04031872,0.03367923,0.06113463,0.04923233
800,0,0.1303858,8.982536,0.5226503,-0.07294495,-1.008384,0.02860707,0.02617703,0.04269963,0.033803
50,0,0.1504233,9.128714,0.5681852,-0.2326015,-1.21713,0.1026441,0.09037508,0.1589294,0.1476432
100,0,0.09859447,8.959469,0.4378682,0.009802198,-0.9787198,0.08451365,0.06859545,0.1271577,0.09317729
200,0,0.1464002,8.91653,0.4706118,0.07773795,-0.9560955,0.05758472,0.05005565,0.08276452,0.06655592
400,0,0.1339306,8.966151,0.5214777,0.01606175,-1.062353,0.04168645,0.03628345,0.06113709,0.0480997
800,0,0.1265226,8.993435,0.5071813,-0.02903386,-0.9978136,0.02881979,0.02566216,0.04242111,0.03248979
50,0,0.1184049,9.023357,0.5586361,-0.03639804,-1.141016,0.1171225,0.1054078,0.1654284,0.1222913
100,0,0.1047368,9.003465,0.5117054,0.09053573,-0.8497844,0.08198936,0.06905721,0.1248729,0.09519151
200,0,0.1387875,8.981989,0.4967843,0.06333858,-0.9666555,0.05565793,0.04999514,0.08349739,0.06542046
400,0,0.1436577,9.037356,0.4814766,0.007181978,-1.072238,0.03897178,0.0343176,0.05731821,0.04596464
800,0,0.1334672,8.977527,0.5151313,0.01847039,-0.9793138,0.02887753,0.02469466,0.04279199,0.03437075
50,0,0.2000248,8.982519,0.3540163,0.2163897,-1.048188,0.1029438,0.09683129,0.1598605,0.1364497
100,0,0.1286561,9.067706,0.505078,-0.1085219,-1.021447,0.08408882,0.07092663,0.1242224,0.09235062
