n,conv,recip,beta0,beta1,alpha0,alpha1,se.beta0,se.beta1,se.alpha0,se.alpha1
11261,0,0.0008701985,9.102157,0.4791524,-1.160222,-0.9626609,0.1334514,0.0116954,0.1948931,0.05176574
11267,0,0.001484816,8.907745,0.5112594,-0.8755071,-1.027944,0.09525436,0.01176801,0.1559853,0.05241511
11296,0,0.001120809,9.005534,0.4967692,-1.017537,-0.9883705,0.113915,0.01171807,0.1753869,0.05222146
11232,0,0.001030969,9.02854,0.5034481,-1.065742,-0.9747621,0.1202053,0.01178294,0.1814925,0.05176044
11411,0,0.001273216,8.985864,0.4932769,-0.9747145,-1.016964,0.1050437,0.01165178,0.165324,0.05217626
11065,0,0.001413255,8.91989,0.4801859,-0.9037279,-1.022832,0.09993847,0.01176079,0.1616392,0.05330498
11407,0,0.001716656,8.888028,0.4902395,-0.8105458,-1.061798,0.08643452,0.01161391,0.1464722,0.05280543
11244,0,0.001089455,9.008992,0.5073689,-1.037534,-0.983867,0.1160435,0.01178928,0.1772789,0.0519024
11117,0,0.0004891851,9.275977,0.492202,-1.428864,-0.9038653,0.184807,0.01185154,0.2474262,0.05113916
11456,0,0.002366976,8.792156,0.4949236,-0.6409165,-1.141768,0.06840375,0.01159082,0.1275177,0.05361853
