n.pc,conv,recip,beta0,beta1,alpha0,alpha1,alpha0.pc,alpha1.pc,se.beta0,se.beta1,se.alpha0,se.alpha1,se.alpha0.pc,se.alpha1.pc
50,0,0.001451081,9.019923,0.4807826,-1.039379,-0.9947192,-0.01893676,-1.056785,0.07647924,0.0116065,0.1176267,0.03672816,0.1661308,0.1255384
100,0,0.002617099,9.049433,0.4798612,-1.083185,-0.9828417,0.04654662,-0.9971207,0.05970986,0.01148774,0.0905684,0.02928414,0.1122903,0.09211555
200,0,0.003898131,8.976593,0.482865,-0.9742022,-1.013284,-0.04486254,-1.048246,0.04931199,0.01141451,0.07872436,0.02854684,0.08631757,0.073988
400,0,0.00789793,9.025828,0.4758908,-1.045514,-0.9933796,-0.0167027,-1.004369,0.03514635,0.01108634,0.05544632,0.02247469,0.05774739,0.04430307
800,0,0.01361041,9.039895,0.4828802,-1.070884,-0.9858844,-0.02050238,-1.015659,0.02621196,0.01057835,0.04212277,0.01985862,0.04152528,0.03253256
50,0,0.00201003,8.874023,0.5097192,-0.8192343,-1.047308,-0.06378352,-1.060052,0.06572331,0.01166886,0.1108846,0.04070615,0.142993,0.1339584
100,0,0.002203179,9.000373,0.5100838,-1.02048,-0.9844405,0.04059202,-1.025762,0.06402634,0.01161192,0.0992184,0.03253952,0.1163514,0.1002495
200,0,0.003863966,8.94938,0.5078963,-0.9398279,-1.008305,0.01422164,-1.027418,0.05077183,0.01145469,0.08192277,0.0299302,0.08192262,0.06934866
400,0,0.007023741,8.98295,0.504893,-0.9902505,-0.9935792,-0.0170427,-0.9113399,0.03687578,0.01111033,0.05903548,0.02381732,0.05959327,0.04903278
800,0,0.0128523,8.981502,0.513643,-0.9939277,-0.9918805,-0.06750418,-1.007191,0.02628181,0.0107276,0.04327969,0.02069872,0.04215843,0.03378769
50,0,0.001411498,9.097917,0.4984942,-1.156247,-0.9512571,-0.1886891,-1.212761,0.08249993,0.01162441,0.1209556,0.034296,0.1496257,0.1464416
100,0,0.002361832,8.953723,0.4947083,-0.9354708,-1.012219,-0.01609224,-0.9854498,0.05984459,0.01151622,0.09594109,0.03343583,0.1183525,0.09139057
200,0,0.004476586,8.928856,0.494894,-0.8959965,-1.024539,0.05637911,-0.9630894,0.04663662,0.01137688,0.07675443,0.0292986,0.08000844,0.06607506
400,0,0.007072297,8.978555,0.4989374,-0.9773871,-0.9997182,0.0141339,-1.063396,0.03688881,0.01112589,0.0594061,0.02397165,0.05990252,0.04796267
800,0,0.0131373,8.997765,0.4985079,-1.006783,-0.9912437,-0.02869136,-0.9981106,0.02611169,0.01063542,0.04271194,0.0204234,0.0419753,0.03246205
50,0,0.00148143,9.031219,0.5044663,-1.070349,-0.973526,-0.009093235,-1.128666,0.07957085,0.01169058,0.1203645,0.03627885,0.1519367,0.1209217
100,0,0.002376804,9.006615,0.5046249,-1.032533,-0.9806072,0.1017786,-0.846983,0.06239024,0.01159228,0.09607805,0.03116555,0.1155257,0.09469177
200,0,0.004400265,8.988212,0.5028277,-1.004059,-0.9919508,0.05483281,-0.9691113,0.04707075,0.01144002,0.0740395,0.02676111,0.08105069,0.06511055
400,0,0.008179273,9.028991,0.5011399,-1.064933,-0.9751663,0.006566127,-1.071325,0.034949,0.0111192,0.05445988,0.02190938,0.05652207,0.04585611
800,0,0.01278445,8.983943,0.5053641,-0.9991794,-0.9931565,0.01660218,-0.9802625,0.02663954,0.01060703,0.04375857,0.02069716,0.04236682,0.03431858
50,0,0.001755855,8.972046,0.4911246,-0.9513923,-1.024192,0.1843195,-1.059206,0.0720441,0.01155559,0.115121,0.03889598,0.1494065,0.1346122
100,0,0.002186007,9.043207,0.4940002,-1.063175,-0.991393,-0.08076626,-1.014991,0.06744831,0.01149388,0.1030304,0.03294751,0.1148059,0.09165217
200,0,0.004400136,8.970089,0.4930596,-0.9497841,-1.024532,-0.03064925,-0.9704062,0.04651908,0.0113314,0.07512971,0.02837551,0.08018941,0.06820974
400,0,0.007385925,8.989779,0.4893896,-0.9782091,-1.016231,-0.01326867,-0.9948184,0.03574418,0.01108196,0.05795703,0.02398175,0.05865582,0.04634945
800,0,0.01327291,8.996714,0.5018544,-0.9973011,-1.009635,0.03059779,-1.023657,0.02568328,0.01051736,0.04239235,0.02063301,0.04161089,0.0333143
50,0,0.001279428,9.007548,0.4787367,-1.039615,-0.982793,-0.3433904,-0.8218043,0.08695719,0.01168004,0.1329971,0.04074083,0.1570836,0.1325572
100,0,0.002305953,9.010962,0.4823161,-1.046537,-0.9810856,0.1582018,-0.807112,0.06519374,0.01157727,0.1000012,0.0323646,0.1146695,0.0927523
200,0,0.004151224,9.007597,0.4814975,-1.041259,-0.9820203,0.03967753,-1.072591,0.0485285,0.01143327,0.07518706,0.02668841,0.08307703,0.06470781
400,0,0.007762393,8.99075,0.4808278,-1.015542,-0.9902094,0.04572986,-1.011257,0.03623643,0.01114947,0.05761168,0.02336883,0.0576543,0.04654152
800,0,0.01283149,9.005017,0.4766504,-1.034401,-0.9843946,-0.0328191,-0.9736318,0.02719839,0.0106415,0.04395373,0.0205925,0.04232554,0.03224632
50,0,0.001523143,8.947439,0.4902391,-0.9080313,-1.029925,0.1826784,-1.166731,0.07526356,0.01154412,0.1222661,0.04221532,0.151898,0.1507865
100,0,0.002520756,8.996506,0.491024,-0.9857577,-1.006103,-0.05800194,-1.073748,0.06381428,0.01147425,0.1005407,0.03416897,0.1040166,0.08729191
200,0,0.004061856,8.975521,0.4877769,-0.9511504,-1.016672,0.04907149,-0.9341021,0.04801005,0.01127275,0.07720672,0.02890341,0.08264857,0.06617682
400,0,0.007119364,8.933457,0.4915152,-0.8864215,-1.036643,0.09177732,-0.9537187,0.03627346,0.0110529,0.06095895,0.02595823,0.05879523,0.04727008
800,0,0.01346543,9.006443,0.4906206,-1.001271,-1.001438,0.00010632,-0.9925865,0.02590123,0.01051317,0.04257897,0.02063353,0.04098937,0.03260834
50,0,0.001378086,9.039963,0.507302,-1.084174,-0.9712287,-0.1086073,-1.071607,0.08170846,0.01170426,0.1229755,0.03662575,0.15603,0.1367043
100,0,0.002081623,9.000943,0.5048936,-1.023717,-0.98797,-0.1886262,-0.8368549,0.06796088,0.01162223,0.105063,0.03378771,0.1202799,0.09015394
200,0,0.004136748,8.971282,0.5055698,-0.9784765,-1.00087,-0.05708072,-0.9876056,0.04936915,0.01146293,0.07845007,0.02826778,0.08168254,0.0677361
